aearep,key,value
aearep-665,docount,20
aearep-665,adocount,21
aearep-665,adofile,_eststo.ado
aearep-665,adofile,estadd.ado
aearep-665,adofile,estpost.ado
aearep-665,adofile,esttab.ado
aearep-665,adofile,eststo.ado
aearep-665,adofile,estout.ado
aearep-665,adofile,grc1leg.ado
aearep-665,adofile,rdplot.ado
aearep-665,adofile,rdbwselect_2014.ado
aearep-665,adofile,rdbwselect.ado
aearep-665,adofile,rdrobust.ado
aearep-665,adofile,rdbwselect_2014_kconst.ado
aearep-665,adofile,coefplot.ado
aearep-665,adofile,_eststo.ado
aearep-665,adofile,estadd.ado
aearep-665,adofile,estpost.ado
aearep-665,adofile,esttab.ado
aearep-665,adofile,eststo.ado
aearep-665,adofile,estout.ado
aearep-665,adofile,grc1leg.ado
aearep-665,adofile,coefplot.ado
