aearep,key,value
aearep-1508,docount,49
aearep-1508,adocount,127
aearep-1508,adofile,_eststo.ado
aearep-1508,adofile,v2seats_mod.ado
aearep-1508,adofile,ivreg28_cue.ado
aearep-1508,adofile,ivreg210.ado
aearep-1508,adofile,ivreg28_p.ado
aearep-1508,adofile,ivreg29_p.ado
aearep-1508,adofile,ivreg210_p.ado
aearep-1508,adofile,ivreg28.ado
aearep-1508,adofile,ivreg2_p.ado
aearep-1508,adofile,ivreg2.ado
aearep-1508,adofile,ivreg29_cue.ado
aearep-1508,adofile,ivreg29.ado
aearep-1508,adofile,estadd.ado
aearep-1508,adofile,estpost.ado
aearep-1508,adofile,esttab.ado
aearep-1508,adofile,eststo.ado
aearep-1508,adofile,estout.ado
aearep-1508,adofile,appendfile.ado
aearep-1508,adofile,optselect.ado
aearep-1508,adofile,missings.ado
aearep-1508,adofile,tex.ado
aearep-1508,adofile,texsave.ado
aearep-1508,adofile,texdoc.ado
aearep-1508,adofile,rdplot.ado
aearep-1508,adofile,ranktest9.ado
aearep-1508,adofile,rdbwselect_2014.ado
aearep-1508,adofile,ranktest.ado
aearep-1508,adofile,rdbwselect.ado
aearep-1508,adofile,rdrobust.ado
aearep-1508,adofile,rdbwselect_2014_kconst.ado
aearep-1508,adofile,ranktest11.ado
aearep-1508,adofile,DCdensity.ado
aearep-1508,adofile,distplot.ado
aearep-1508,adofile,distplot7.ado
aearep-1508,adofile,missings.ado
aearep-1508,adofile,outreg2_prf.ado
aearep-1508,adofile,outreg2.ado
aearep-1508,adofile,_eststo.ado
aearep-1508,adofile,ivreg28_cue.ado
aearep-1508,adofile,ivreg210.ado
aearep-1508,adofile,ivreg28_p.ado
aearep-1508,adofile,ivreg29_p.ado
aearep-1508,adofile,ivreg210_p.ado
aearep-1508,adofile,ivreg28.ado
aearep-1508,adofile,ivreg2_p.ado
aearep-1508,adofile,ivreg2.ado
aearep-1508,adofile,ivreg29_cue.ado
aearep-1508,adofile,ivreg29.ado
aearep-1508,adofile,estadd.ado
aearep-1508,adofile,estpost.ado
aearep-1508,adofile,esttab.ado
aearep-1508,adofile,eststo.ado
aearep-1508,adofile,estout.ado
aearep-1508,adofile,appendfile.ado
aearep-1508,adofile,tex.ado
aearep-1508,adofile,texsave.ado
aearep-1508,adofile,texdoc.ado
aearep-1508,adofile,rdplot.ado
aearep-1508,adofile,rdbwselect_2014.ado
aearep-1508,adofile,rdbwselect.ado
aearep-1508,adofile,rdrobust.ado
aearep-1508,adofile,rdbwselect_2014_kconst.ado
aearep-1508,adofile,reclink.ado
aearep-1508,adofile,seeout.ado
aearep-1508,adofile,shp2dta.ado
aearep-1508,adofile,shellout.ado
aearep-1508,adofile,spmap_line.ado
aearep-1508,adofile,spmap_color.ado
aearep-1508,adofile,spmap_point.ado
aearep-1508,adofile,spmap_arrow.ado
aearep-1508,adofile,spmap_polygon.ado
aearep-1508,adofile,spmap.ado
aearep-1508,adofile,spmap_psl.ado
aearep-1508,adofile,spmap_label.ado
aearep-1508,adofile,spmap_diagram.ado
aearep-1508,adofile,spmap_scalebar.ado
aearep-1508,adofile,spmap_examples.ado
aearep-1508,adofile,missings.ado
aearep-1508,adofile,outreg2_prf.ado
aearep-1508,adofile,outreg2.ado
aearep-1508,adofile,_eststo.ado
aearep-1508,adofile,ivreg28_cue.ado
aearep-1508,adofile,ivreg210.ado
aearep-1508,adofile,ivreg28_p.ado
aearep-1508,adofile,ivreg29_p.ado
aearep-1508,adofile,ivreg210_p.ado
aearep-1508,adofile,ivreg28.ado
aearep-1508,adofile,ivreg2_p.ado
aearep-1508,adofile,ivreg2.ado
aearep-1508,adofile,ivreg29_cue.ado
aearep-1508,adofile,ivreg29.ado
aearep-1508,adofile,estadd.ado
aearep-1508,adofile,estpost.ado
aearep-1508,adofile,esttab.ado
aearep-1508,adofile,eststo.ado
aearep-1508,adofile,estout.ado
aearep-1508,adofile,appendfile.ado
aearep-1508,adofile,tex.ado
aearep-1508,adofile,texsave.ado
aearep-1508,adofile,texdoc.ado
aearep-1508,adofile,rdplot.ado
aearep-1508,adofile,rdbwselect_2014.ado
aearep-1508,adofile,rdbwselect.ado
aearep-1508,adofile,rdrobust.ado
aearep-1508,adofile,rdbwselect_2014_kconst.ado
aearep-1508,adofile,reclink.ado
aearep-1508,adofile,seeout.ado
aearep-1508,adofile,shp2dta.ado
aearep-1508,adofile,shellout.ado
aearep-1508,adofile,spmap_line.ado
aearep-1508,adofile,spmap_color.ado
aearep-1508,adofile,spmap_point.ado
aearep-1508,adofile,spmap_arrow.ado
aearep-1508,adofile,spmap_polygon.ado
aearep-1508,adofile,spmap.ado
aearep-1508,adofile,spmap_psl.ado
aearep-1508,adofile,spmap_label.ado
aearep-1508,adofile,spmap_diagram.ado
aearep-1508,adofile,spmap_scalebar.ado
aearep-1508,adofile,spmap_examples.ado
aearep-1508,adofile,filelist.ado
aearep-1508,adofile,filelist.ado
aearep-1508,adofile,filelist.ado
