aearep,key,value
aearep-737,docount,53
aearep-737,adocount,22
aearep-737,adofile,rdplot.ado
aearep-737,adofile,binscatter.ado
aearep-737,adofile,altrdbwselect.ado
aearep-737,adofile,estadd.ado
aearep-737,adofile,_eststo.ado
aearep-737,adofile,mdesc.ado
aearep-737,adofile,estpost.ado
aearep-737,adofile,ivdesc_calc.ado
aearep-737,adofile,altfrdbwselect.ado
aearep-737,adofile,esttab.ado
aearep-737,adofile,eststo.ado
aearep-737,adofile,estout.ado
aearep-737,adofile,altrdrobust.ado
aearep-737,adofile,rdbwselect_2014.ado
aearep-737,adofile,kconst.ado
aearep-737,adofile,rdbwselect.ado
aearep-737,adofile,altrdvce.ado
aearep-737,adofile,rdrobust.ado
aearep-737,adofile,rdbwselect_2014_kconst.ado
aearep-737,adofile,ivdesc.ado
aearep-737,adofile,ritest.ado
aearep-737,adofile,distinct.ado
