aearep,key,value
aearep-1114,docount,44
aearep-1114,adocount,52
aearep-1114,adofile,rdplot.ado
aearep-1114,adofile,altrdbwselect.ado
aearep-1114,adofile,_eststo.ado
aearep-1114,adofile,ivreg28_cue.ado
aearep-1114,adofile,ivreg210.ado
aearep-1114,adofile,ivreg28_p.ado
aearep-1114,adofile,ivreg29_p.ado
aearep-1114,adofile,ivreg210_p.ado
aearep-1114,adofile,ivreg28.ado
aearep-1114,adofile,ivreg2_p.ado
aearep-1114,adofile,ivreg2.ado
aearep-1114,adofile,ivreg29_cue.ado
aearep-1114,adofile,ivreg29.ado
aearep-1114,adofile,estadd.ado
aearep-1114,adofile,estpost.ado
aearep-1114,adofile,esttab.ado
aearep-1114,adofile,eststo.ado
aearep-1114,adofile,estout.ado
aearep-1114,adofile,geodist.ado
aearep-1114,adofile,grc1leg.ado
aearep-1114,adofile,avar.ado
aearep-1114,adofile,altrdbwselect.ado
aearep-1114,adofile,altfrdbwselect.ado
aearep-1114,adofile,altrdrobust.ado
aearep-1114,adofile,avar9.ado
aearep-1114,adofile,altrdvce.ado
aearep-1114,adofile,altfrdbwselect.ado
aearep-1114,adofile,kconst.ado
aearep-1114,adofile,altrdrobust.ado
aearep-1114,adofile,rdplot.ado
aearep-1114,adofile,ranktest9.ado
aearep-1114,adofile,rdbwselect_2014.ado
aearep-1114,adofile,ranktest.ado
aearep-1114,adofile,rdbwselect.ado
aearep-1114,adofile,rdrobust.ado
aearep-1114,adofile,rdbinselect.ado
aearep-1114,adofile,rdbwselect_2014_kconst.ado
aearep-1114,adofile,binscatter.ado
aearep-1114,adofile,rdbwselect.ado
aearep-1114,adofile,altrdvce.ado
aearep-1114,adofile,xtivreg2.ado
aearep-1114,adofile,xtivreg2_p.ado
aearep-1114,adofile,rdrobust.ado
aearep-1114,adofile,rdbinselect.ado
aearep-1114,adofile,functions.ado
aearep-1114,adofile,synth_ll.ado
aearep-1114,adofile,synth.ado
aearep-1114,adofile,cmogram.ado
aearep-1114,adofile,DCdensity.ado
aearep-1114,adofile,weakivtest.ado
aearep-1114,adofile,filelist.ado
aearep-1114,adofile,filelist.ado
