aearep,key,value
aearep-374,docount,79
aearep-374,adocount,93
aearep-374,adofile,outreg2_prf.ado
aearep-374,adofile,outreg2.ado
aearep-374,adofile,_eststo.ado
aearep-374,adofile,ivreg28_cue.ado
aearep-374,adofile,ivreg210.ado
aearep-374,adofile,ivreg28_p.ado
aearep-374,adofile,ivreg29_p.ado
aearep-374,adofile,ivreg210_p.ado
aearep-374,adofile,ivreg28.ado
aearep-374,adofile,ivreg2_p.ado
aearep-374,adofile,ivreg2.ado
aearep-374,adofile,ivreg29_cue.ado
aearep-374,adofile,ivreg29.ado
aearep-374,adofile,estadd.ado
aearep-374,adofile,estpost.ado
aearep-374,adofile,esttab.ado
aearep-374,adofile,eststo.ado
aearep-374,adofile,estout.ado
aearep-374,adofile,ranktest9.ado
aearep-374,adofile,ranktest.ado
aearep-374,adofile,xtivreg2.ado
aearep-374,adofile,xtivreg2_p.ado
aearep-374,adofile,folders.ado
aearep-374,adofile,fs.ado
aearep-374,adofile,seeout.ado
aearep-374,adofile,shellout.ado
aearep-374,adofile,outreg2_prf.ado
aearep-374,adofile,outreg2.ado
aearep-374,adofile,_eststo.ado
aearep-374,adofile,ivreg28_cue.ado
aearep-374,adofile,ivreg210.ado
aearep-374,adofile,ivreg28_p.ado
aearep-374,adofile,ivreg29_p.ado
aearep-374,adofile,ivreg210_p.ado
aearep-374,adofile,ivreg28.ado
aearep-374,adofile,ivreg2_p.ado
aearep-374,adofile,ivreg2.ado
aearep-374,adofile,ivreg29_cue.ado
aearep-374,adofile,ivreg29.ado
aearep-374,adofile,estadd.ado
aearep-374,adofile,estpost.ado
aearep-374,adofile,esttab.ado
aearep-374,adofile,eststo.ado
aearep-374,adofile,estout.ado
aearep-374,adofile,ranktest9.ado
aearep-374,adofile,ranktest.ado
aearep-374,adofile,xtivreg2.ado
aearep-374,adofile,xtivreg2_p.ado
aearep-374,adofile,nlabel.ado
aearep-374,adofile,folders.ado
aearep-374,adofile,fs.ado
aearep-374,adofile,fsum.ado
aearep-374,adofile,seeout.ado
aearep-374,adofile,shellout.ado
aearep-374,adofile,parmest.ado
aearep-374,adofile,parmcip.ado
aearep-374,adofile,parmby.ado
aearep-374,adofile,mdesc.ado
aearep-374,adofile,metaparm.ado
aearep-374,adofile,geodist_run.ado
aearep-374,adofile,geodist.ado
aearep-374,adofile,renvarlab.ado
aearep-374,adofile,folders.ado
aearep-374,adofile,fs.ado
aearep-374,adofile,semipar.ado
aearep-374,adofile,strparse.ado
aearep-374,adofile,carryforward.ado
aearep-374,adofile,outreg2_prf.ado
aearep-374,adofile,outreg2.ado
aearep-374,adofile,_eststo.ado
aearep-374,adofile,ivreg28_cue.ado
aearep-374,adofile,ivreg210.ado
aearep-374,adofile,ivreg28_p.ado
aearep-374,adofile,ivreg29_p.ado
aearep-374,adofile,ivreg210_p.ado
aearep-374,adofile,ivreg28.ado
aearep-374,adofile,ivreg2_p.ado
aearep-374,adofile,ivreg2.ado
aearep-374,adofile,ivreg29_cue.ado
aearep-374,adofile,ivreg29.ado
aearep-374,adofile,estadd.ado
aearep-374,adofile,estpost.ado
aearep-374,adofile,esttab.ado
aearep-374,adofile,eststo.ado
aearep-374,adofile,estout.ado
aearep-374,adofile,ranktest9.ado
aearep-374,adofile,ranktest.ado
aearep-374,adofile,xtivreg2.ado
aearep-374,adofile,xtivreg2_p.ado
aearep-374,adofile,folders.ado
aearep-374,adofile,fs.ado
aearep-374,adofile,seeout.ado
aearep-374,adofile,shellout.ado
