aearep,key,value
aearep-1599,docount,39
aearep-1599,adocount,45
aearep-1599,adofile,pdslasso.ado
aearep-1599,adofile,_eststo.ado
aearep-1599,adofile,ivlasso_p.ado
aearep-1599,adofile,ivlasso.ado
aearep-1599,adofile,estadd.ado
aearep-1599,adofile,estpost.ado
aearep-1599,adofile,esttab.ado
aearep-1599,adofile,eststo.ado
aearep-1599,adofile,estout.ado
aearep-1599,adofile,grc1leg.ado
aearep-1599,adofile,rlasso.ado
aearep-1599,adofile,rlasso_p.ado
aearep-1599,adofile,rlassologit.ado
aearep-1599,adofile,lassologit_p.ado
aearep-1599,adofile,lassoutils.ado
aearep-1599,adofile,lasso2.ado
aearep-1599,adofile,lasso2_p.ado
aearep-1599,adofile,lassologit.ado
aearep-1599,adofile,xtserialpm.ado
aearep-1599,adofile,cvlasso.ado
aearep-1599,adofile,coefplot.ado
aearep-1599,adofile,cvlassologit.ado
aearep-1599,adofile,pdslasso.ado
aearep-1599,adofile,_eststo.ado
aearep-1599,adofile,ivlasso_p.ado
aearep-1599,adofile,ivlasso.ado
aearep-1599,adofile,estadd.ado
aearep-1599,adofile,estpost.ado
aearep-1599,adofile,esttab.ado
aearep-1599,adofile,eststo.ado
aearep-1599,adofile,estout.ado
aearep-1599,adofile,grc1leg.ado
aearep-1599,adofile,rlasso.ado
aearep-1599,adofile,rlasso_p.ado
aearep-1599,adofile,rlassologit.ado
aearep-1599,adofile,lassologit_p.ado
aearep-1599,adofile,lassoutils.ado
aearep-1599,adofile,lasso2.ado
aearep-1599,adofile,lasso2_p.ado
aearep-1599,adofile,lassologit.ado
aearep-1599,adofile,usepackage.ado
aearep-1599,adofile,cvlasso.ado
aearep-1599,adofile,coefplot.ado
aearep-1599,adofile,cvlassologit.ado
aearep-1599,adofile,filelist.ado
