aearep,key,value
aearep-811,docount,83
aearep-811,adocount,123
aearep-811,adofile,DCdensity.ado
aearep-811,adofile,ms_add_comma.ado
aearep-811,adofile,ms_parse_vce.ado
aearep-811,adofile,ms_parse_absvars.ado
aearep-811,adofile,ms_parse_varlist.ado
aearep-811,adofile,ms_get_version.ado
aearep-811,adofile,ms_compile_mata.ado
aearep-811,adofile,ms_expand_varlist.ado
aearep-811,adofile,ms_fvunab.ado
aearep-811,adofile,ms_fvstrip.ado
aearep-811,adofile,outreg2_prf.ado
aearep-811,adofile,outreg2.ado
aearep-811,adofile,join.ado
aearep-811,adofile,_eststo.ado
aearep-811,adofile,ivreg28_cue.ado
aearep-811,adofile,ivreg210.ado
aearep-811,adofile,ivreg28_p.ado
aearep-811,adofile,ivreg29_p.ado
aearep-811,adofile,ivreg210_p.ado
aearep-811,adofile,ivreg28.ado
aearep-811,adofile,ivreg2_p.ado
aearep-811,adofile,ivreg2.ado
aearep-811,adofile,ivreg29_cue.ado
aearep-811,adofile,ivreg29.ado
aearep-811,adofile,estadd.ado
aearep-811,adofile,estpost.ado
aearep-811,adofile,esttab.ado
aearep-811,adofile,eststo.ado
aearep-811,adofile,estout.ado
aearep-811,adofile,estfe.ado
aearep-811,adofile,tmpdir.ado
aearep-811,adofile,reghdfe.ado
aearep-811,adofile,ranktest9.ado
aearep-811,adofile,reghdfe_store_alphas.ado
aearep-811,adofile,reghdfe_parse.ado
aearep-811,adofile,ranktest.ado
aearep-811,adofile,reghdfe_p.ado
aearep-811,adofile,reg2hdfe.ado
aearep-811,adofile,reghdfe_estat.ado
aearep-811,adofile,reghdfe_footnote.ado
aearep-811,adofile,reghdfe_header.ado
aearep-811,adofile,reghdfe_old_estat.ado
aearep-811,adofile,reghdfe_old_footnote.ado
aearep-811,adofile,reghdfe_old.ado
aearep-811,adofile,reghdfe_old_p.ado
aearep-811,adofile,local_inlist.ado
aearep-811,adofile,fmerge.ado
aearep-811,adofile,fegen.ado
aearep-811,adofile,fsort.ado
aearep-811,adofile,ftab.ado
aearep-811,adofile,fisid.ado
aearep-811,adofile,flevelsof.ado
aearep-811,adofile,fcollapse.ado
aearep-811,adofile,filelist.ado
aearep-811,adofile,fegen_group.ado
aearep-811,adofile,ftools.ado
aearep-811,adofile,freshape.ado
aearep-811,adofile,seeout.ado
aearep-811,adofile,shellout.ado
aearep-811,adofile,shortdir.ado
aearep-811,adofile,confirmdir.ado
aearep-811,adofile,reg2hdfespatial.ado
aearep-811,adofile,DCdensity.ado
aearep-811,adofile,ms_add_comma.ado
aearep-811,adofile,ms_parse_vce.ado
aearep-811,adofile,ms_parse_absvars.ado
aearep-811,adofile,ms_parse_varlist.ado
aearep-811,adofile,ms_get_version.ado
aearep-811,adofile,ms_compile_mata.ado
aearep-811,adofile,ms_expand_varlist.ado
aearep-811,adofile,ms_fvunab.ado
aearep-811,adofile,ms_fvstrip.ado
aearep-811,adofile,outreg2_prf.ado
aearep-811,adofile,outreg2.ado
aearep-811,adofile,join.ado
aearep-811,adofile,_eststo.ado
aearep-811,adofile,ivreg28_cue.ado
aearep-811,adofile,ivreg210.ado
aearep-811,adofile,ivreg28_p.ado
aearep-811,adofile,ivreg29_p.ado
aearep-811,adofile,ivreg210_p.ado
aearep-811,adofile,ivreg28.ado
aearep-811,adofile,ivreg2_p.ado
aearep-811,adofile,ivreg2.ado
aearep-811,adofile,ivreg29_cue.ado
aearep-811,adofile,ivreg29.ado
aearep-811,adofile,estadd.ado
aearep-811,adofile,estpost.ado
aearep-811,adofile,esttab.ado
aearep-811,adofile,eststo.ado
aearep-811,adofile,estout.ado
aearep-811,adofile,estfe.ado
aearep-811,adofile,tmpdir.ado
aearep-811,adofile,reghdfe.ado
aearep-811,adofile,ranktest9.ado
aearep-811,adofile,reghdfe_store_alphas.ado
aearep-811,adofile,reghdfe_parse.ado
aearep-811,adofile,ranktest.ado
aearep-811,adofile,reghdfe_p.ado
aearep-811,adofile,reg2hdfe.ado
aearep-811,adofile,ranktest11.ado
aearep-811,adofile,reghdfe_estat.ado
aearep-811,adofile,reghdfe_footnote.ado
aearep-811,adofile,reghdfe_header.ado
aearep-811,adofile,reghdfe_old_estat.ado
aearep-811,adofile,reghdfe_old_footnote.ado
aearep-811,adofile,reghdfe_old.ado
aearep-811,adofile,reghdfe_old_p.ado
aearep-811,adofile,local_inlist.ado
aearep-811,adofile,fmerge.ado
aearep-811,adofile,fegen.ado
aearep-811,adofile,fsort.ado
aearep-811,adofile,ftab.ado
aearep-811,adofile,fisid.ado
aearep-811,adofile,flevelsof.ado
aearep-811,adofile,fcollapse.ado
aearep-811,adofile,fegen_group.ado
aearep-811,adofile,ftools.ado
aearep-811,adofile,freshape.ado
aearep-811,adofile,seeout.ado
aearep-811,adofile,shellout.ado
aearep-811,adofile,shortdir.ado
aearep-811,adofile,confirmdir.ado
