aearep,key,value
aearep-1141,docount,13
aearep-1141,adocount,48
aearep-1141,adofile,ms_add_comma.ado
aearep-1141,adofile,ms_parse_vce.ado
aearep-1141,adofile,ms_parse_absvars.ado
aearep-1141,adofile,ms_parse_varlist.ado
aearep-1141,adofile,ms_get_version.ado
aearep-1141,adofile,ms_compile_mata.ado
aearep-1141,adofile,ms_expand_varlist.ado
aearep-1141,adofile,ms_fvunab.ado
aearep-1141,adofile,ms_fvstrip.ado
aearep-1141,adofile,join.ado
aearep-1141,adofile,_eststo.ado
aearep-1141,adofile,estadd.ado
aearep-1141,adofile,estpost.ado
aearep-1141,adofile,esttab.ado
aearep-1141,adofile,eststo.ado
aearep-1141,adofile,estout.ado
aearep-1141,adofile,estfe.ado
aearep-1141,adofile,geodist_run.ado
aearep-1141,adofile,geodist.ado
aearep-1141,adofile,artest.ado
aearep-1141,adofile,reghdfe.ado
aearep-1141,adofile,reghdfe_store_alphas.ado
aearep-1141,adofile,reghdfe_parse.ado
aearep-1141,adofile,reghdfe_p.ado
aearep-1141,adofile,reghdfe_estat.ado
aearep-1141,adofile,reghdfe_footnote.ado
aearep-1141,adofile,reghdfe_header.ado
aearep-1141,adofile,reghdfe_old_estat.ado
aearep-1141,adofile,reghdfe_old_footnote.ado
aearep-1141,adofile,reghdfe_old.ado
aearep-1141,adofile,reghdfe_old_p.ado
aearep-1141,adofile,boottest.ado
aearep-1141,adofile,local_inlist.ado
aearep-1141,adofile,fmerge.ado
aearep-1141,adofile,fegen.ado
aearep-1141,adofile,fsort.ado
aearep-1141,adofile,ftab.ado
aearep-1141,adofile,fisid.ado
aearep-1141,adofile,flevelsof.ado
aearep-1141,adofile,fcollapse.ado
aearep-1141,adofile,fegen_group.ado
aearep-1141,adofile,ftools.ado
aearep-1141,adofile,freshape.ado
aearep-1141,adofile,scoretest.ado
aearep-1141,adofile,coefplot.ado
aearep-1141,adofile,clusteff.ado
aearep-1141,adofile,waldtest.ado
aearep-1141,adofile,filelist.ado
