aearep,key,value
aearep-352,docount,20
aearep-352,adocount,89
aearep-352,adofile,ms_add_comma.ado
aearep-352,adofile,ms_parse_vce.ado
aearep-352,adofile,ms_parse_absvars.ado
aearep-352,adofile,ms_parse_varlist.ado
aearep-352,adofile,ms_get_version.ado
aearep-352,adofile,ms_compile_mata.ado
aearep-352,adofile,ms_expand_varlist.ado
aearep-352,adofile,ms_fvunab.ado
aearep-352,adofile,ms_fvstrip.ado
aearep-352,adofile,outreg2_prf.ado
aearep-352,adofile,outreg2.ado
aearep-352,adofile,join.ado
aearep-352,adofile,estfe.ado
aearep-352,adofile,reghdfe.ado
aearep-352,adofile,reghdfe_store_alphas.ado
aearep-352,adofile,reghdfe_parse.ado
aearep-352,adofile,reghdfe_p.ado
aearep-352,adofile,reghdfe_estat.ado
aearep-352,adofile,reghdfe_footnote.ado
aearep-352,adofile,reghdfe_header.ado
aearep-352,adofile,reghdfe_old_estat.ado
aearep-352,adofile,reghdfe_old_footnote.ado
aearep-352,adofile,reghdfe_old.ado
aearep-352,adofile,reghdfe_old_p.ado
aearep-352,adofile,local_inlist.ado
aearep-352,adofile,fmerge.ado
aearep-352,adofile,fegen.ado
aearep-352,adofile,fsort.ado
aearep-352,adofile,ftab.ado
aearep-352,adofile,fisid.ado
aearep-352,adofile,flevelsof.ado
aearep-352,adofile,fcollapse.ado
aearep-352,adofile,fegen_group.ado
aearep-352,adofile,ftools.ado
aearep-352,adofile,freshape.ado
aearep-352,adofile,seeout.ado
aearep-352,adofile,shellout.ado
aearep-352,adofile,sutex.ado
aearep-352,adofile,sutex6.ado
aearep-352,adofile,carryforward.ado
aearep-352,adofile,coefplot.ado
aearep-352,adofile,parmest.ado
aearep-352,adofile,parmcip.ado
aearep-352,adofile,parmby.ado
aearep-352,adofile,ms_add_comma.ado
aearep-352,adofile,ms_parse_vce.ado
aearep-352,adofile,metaparm.ado
aearep-352,adofile,ms_parse_absvars.ado
aearep-352,adofile,ms_parse_varlist.ado
aearep-352,adofile,ms_get_version.ado
aearep-352,adofile,ms_compile_mata.ado
aearep-352,adofile,ms_expand_varlist.ado
aearep-352,adofile,ms_fvunab.ado
aearep-352,adofile,ms_fvstrip.ado
aearep-352,adofile,outreg2_prf.ado
aearep-352,adofile,outreg2.ado
aearep-352,adofile,join.ado
aearep-352,adofile,_eststo.ado
aearep-352,adofile,estadd.ado
aearep-352,adofile,estpost.ado
aearep-352,adofile,esttab.ado
aearep-352,adofile,eststo.ado
aearep-352,adofile,estout.ado
aearep-352,adofile,estfe.ado
aearep-352,adofile,reghdfe.ado
aearep-352,adofile,reghdfe_store_alphas.ado
aearep-352,adofile,reghdfe_parse.ado
aearep-352,adofile,reghdfe_p.ado
aearep-352,adofile,reghdfe_estat.ado
aearep-352,adofile,reghdfe_footnote.ado
aearep-352,adofile,reghdfe_header.ado
aearep-352,adofile,reghdfe_old_estat.ado
aearep-352,adofile,reghdfe_old_footnote.ado
aearep-352,adofile,reghdfe_old.ado
aearep-352,adofile,reghdfe_old_p.ado
aearep-352,adofile,local_inlist.ado
aearep-352,adofile,fmerge.ado
aearep-352,adofile,fegen.ado
aearep-352,adofile,fsort.ado
aearep-352,adofile,ftab.ado
aearep-352,adofile,fisid.ado
aearep-352,adofile,flevelsof.ado
aearep-352,adofile,fcollapse.ado
aearep-352,adofile,fegen_group.ado
aearep-352,adofile,ftools.ado
aearep-352,adofile,freshape.ado
aearep-352,adofile,seeout.ado
aearep-352,adofile,shellout.ado
aearep-352,adofile,coefplot.ado
