aearep,key,value
aearep-1893,docount,17
aearep-1893,adocount,28
aearep-1893,adofile,filelist.ado
aearep-1893,adofile,mdesc.ado
aearep-1893,adofile,outreg2_prf.ado
aearep-1893,adofile,outreg2.ado
aearep-1893,adofile,_eststo.ado
aearep-1893,adofile,ivreg28_cue.ado
aearep-1893,adofile,ivreg210.ado
aearep-1893,adofile,ivreg28_p.ado
aearep-1893,adofile,ivreg29_p.ado
aearep-1893,adofile,ivreg210_p.ado
aearep-1893,adofile,ivreg28.ado
aearep-1893,adofile,ivreg2_p.ado
aearep-1893,adofile,ivreg2.ado
aearep-1893,adofile,ivreg29_cue.ado
aearep-1893,adofile,ivreg29.ado
aearep-1893,adofile,estadd.ado
aearep-1893,adofile,estpost.ado
aearep-1893,adofile,esttab.ado
aearep-1893,adofile,eststo.ado
aearep-1893,adofile,estout.ado
aearep-1893,adofile,ranktest9.ado
aearep-1893,adofile,ranktest.ado
aearep-1893,adofile,ranktest11.ado
aearep-1893,adofile,xtivreg2.ado
aearep-1893,adofile,xtivreg2_p.ado
aearep-1893,adofile,seeout.ado
aearep-1893,adofile,shellout.ado
aearep-1893,adofile,coefplot.ado
