aearep,key,value
aearep-1465,docount,7
aearep-1465,adocount,40
aearep-1465,adofile,ms_add_comma.ado
aearep-1465,adofile,ms_parse_vce.ado
aearep-1465,adofile,ms_parse_absvars.ado
aearep-1465,adofile,ms_parse_varlist.ado
aearep-1465,adofile,ms_get_version.ado
aearep-1465,adofile,ms_compile_mata.ado
aearep-1465,adofile,ms_expand_varlist.ado
aearep-1465,adofile,ms_fvunab.ado
aearep-1465,adofile,ms_fvstrip.ado
aearep-1465,adofile,join.ado
aearep-1465,adofile,_eststo.ado
aearep-1465,adofile,estadd.ado
aearep-1465,adofile,estpost.ado
aearep-1465,adofile,esttab.ado
aearep-1465,adofile,eststo.ado
aearep-1465,adofile,estout.ado
aearep-1465,adofile,estfe.ado
aearep-1465,adofile,reghdfe.ado
aearep-1465,adofile,reghdfe_store_alphas.ado
aearep-1465,adofile,reghdfe_parse.ado
aearep-1465,adofile,reghdfe_p.ado
aearep-1465,adofile,reghdfe_estat.ado
aearep-1465,adofile,reghdfe_footnote.ado
aearep-1465,adofile,reghdfe_header.ado
aearep-1465,adofile,reghdfe_old_estat.ado
aearep-1465,adofile,reghdfe_old_footnote.ado
aearep-1465,adofile,reghdfe_old.ado
aearep-1465,adofile,reghdfe_old_p.ado
aearep-1465,adofile,local_inlist.ado
aearep-1465,adofile,fmerge.ado
aearep-1465,adofile,fegen.ado
aearep-1465,adofile,fsort.ado
aearep-1465,adofile,ftab.ado
aearep-1465,adofile,fisid.ado
aearep-1465,adofile,flevelsof.ado
aearep-1465,adofile,fcollapse.ado
aearep-1465,adofile,fegen_group.ado
aearep-1465,adofile,ftools.ado
aearep-1465,adofile,freshape.ado
aearep-1465,adofile,filelist.ado
