aearep,key,value
aearep-1586,docount,17
aearep-1586,adocount,17
aearep-1586,adofile,outreg2_prf.ado
aearep-1586,adofile,outreg2.ado
aearep-1586,adofile,outreg.ado
aearep-1586,adofile,frmttable.ado
aearep-1586,adofile,seeout.ado
aearep-1586,adofile,shellout.ado
aearep-1586,adofile,sxpose.ado
aearep-1586,adofile,ciplot.ado
aearep-1586,adofile,outreg2_prf.ado
aearep-1586,adofile,outreg2.ado
aearep-1586,adofile,outreg.ado
aearep-1586,adofile,frmttable.ado
aearep-1586,adofile,filelist.ado
aearep-1586,adofile,seeout.ado
aearep-1586,adofile,shellout.ado
aearep-1586,adofile,sxpose.ado
aearep-1586,adofile,ciplot.ado
