aearep,key,value
aearep-1872,docount,5
aearep-1872,adocount,66
aearep-1872,adofile,matselrc.ado
aearep-1872,adofile,matvech.ado
aearep-1872,adofile,ms_add_comma.ado
aearep-1872,adofile,ms_parse_vce.ado
aearep-1872,adofile,matvtom.ado
aearep-1872,adofile,ms_parse_absvars.ado
aearep-1872,adofile,matvec.ado
aearep-1872,adofile,matcorr.ado
aearep-1872,adofile,matewmf.ado
aearep-1872,adofile,matvsort.ado
aearep-1872,adofile,ms_parse_varlist.ado
aearep-1872,adofile,ms_get_version.ado
aearep-1872,adofile,ms_compile_mata.ado
aearep-1872,adofile,ms_expand_varlist.ado
aearep-1872,adofile,ms_fvunab.ado
aearep-1872,adofile,ms_fvstrip.ado
aearep-1872,adofile,join.ado
aearep-1872,adofile,_eststo.ado
aearep-1872,adofile,ivreg28_cue.ado
aearep-1872,adofile,ivreg210.ado
aearep-1872,adofile,ivreg28_p.ado
aearep-1872,adofile,ivreghdfe.ado
aearep-1872,adofile,ivreg29_p.ado
aearep-1872,adofile,ivreg210_p.ado
aearep-1872,adofile,ivreg28.ado
aearep-1872,adofile,ivreg2_p.ado
aearep-1872,adofile,ivreg2.ado
aearep-1872,adofile,ivreg29_cue.ado
aearep-1872,adofile,ivreg29.ado
aearep-1872,adofile,estadd.ado
aearep-1872,adofile,estpost.ado
aearep-1872,adofile,esttab.ado
aearep-1872,adofile,eststo.ado
aearep-1872,adofile,estout.ado
aearep-1872,adofile,estfe.ado
aearep-1872,adofile,grc1leg.ado
aearep-1872,adofile,reghdfe.ado
aearep-1872,adofile,ranktest9.ado
aearep-1872,adofile,reghdfe_store_alphas.ado
aearep-1872,adofile,reghdfe_parse.ado
aearep-1872,adofile,ranktest.ado
aearep-1872,adofile,reghdfe_p.ado
aearep-1872,adofile,ranktest11.ado
aearep-1872,adofile,reghdfe_estat.ado
aearep-1872,adofile,reghdfe_footnote.ado
aearep-1872,adofile,reghdfe_header.ado
aearep-1872,adofile,reghdfe_old_estat.ado
aearep-1872,adofile,reghdfe_old_footnote.ado
aearep-1872,adofile,reghdfe_old.ado
aearep-1872,adofile,reghdfe_old_p.ado
aearep-1872,adofile,local_inlist.ado
aearep-1872,adofile,fmerge.ado
aearep-1872,adofile,fegen.ado
aearep-1872,adofile,fsort.ado
aearep-1872,adofile,ftab.ado
aearep-1872,adofile,fisid.ado
aearep-1872,adofile,flevelsof.ado
aearep-1872,adofile,fcollapse.ado
aearep-1872,adofile,fegen_group.ado
aearep-1872,adofile,ftools.ado
aearep-1872,adofile,freshape.ado
aearep-1872,adofile,svmatsv.ado
aearep-1872,adofile,stcoxcal.ado
aearep-1872,adofile,svmat2.ado
aearep-1872,adofile,coefplot.ado
aearep-1872,adofile,filelist.ado
