aearep,key,value
aearep-504,docount,24
aearep-504,adocount,64
aearep-504,adofile,parmest.ado
aearep-504,adofile,parmcip.ado
aearep-504,adofile,parmby.ado
aearep-504,adofile,ms_add_comma.ado
aearep-504,adofile,ms_parse_vce.ado
aearep-504,adofile,metaparm.ado
aearep-504,adofile,ms_parse_absvars.ado
aearep-504,adofile,ms_parse_varlist.ado
aearep-504,adofile,ms_get_version.ado
aearep-504,adofile,ms_compile_mata.ado
aearep-504,adofile,ms_expand_varlist.ado
aearep-504,adofile,ms_fvunab.ado
aearep-504,adofile,ms_fvstrip.ado
aearep-504,adofile,join.ado
aearep-504,adofile,_eststo.ado
aearep-504,adofile,ivreg28_cue.ado
aearep-504,adofile,ivreg210.ado
aearep-504,adofile,ivreg28_p.ado
aearep-504,adofile,ivreghdfe.ado
aearep-504,adofile,ivreg29_p.ado
aearep-504,adofile,ivreg210_p.ado
aearep-504,adofile,ivreg28.ado
aearep-504,adofile,ivreg2_p.ado
aearep-504,adofile,ivreg2.ado
aearep-504,adofile,ivreg29_cue.ado
aearep-504,adofile,ivreg29.ado
aearep-504,adofile,estadd.ado
aearep-504,adofile,estpost.ado
aearep-504,adofile,esttab.ado
aearep-504,adofile,eststo.ado
aearep-504,adofile,estout.ado
aearep-504,adofile,estfe.ado
aearep-504,adofile,reghdfe.ado
aearep-504,adofile,ranktest9.ado
aearep-504,adofile,regsave_tbl.ado
aearep-504,adofile,reghdfe_store_alphas.ado
aearep-504,adofile,reghdfe_parse.ado
aearep-504,adofile,ranktest.ado
aearep-504,adofile,reghdfe_p.ado
aearep-504,adofile,regsave.ado
aearep-504,adofile,reghdfe_estat.ado
aearep-504,adofile,reghdfe_footnote.ado
aearep-504,adofile,reghdfe_header.ado
aearep-504,adofile,reghdfe_old_estat.ado
aearep-504,adofile,reghdfe_old_footnote.ado
aearep-504,adofile,reghdfe_old.ado
aearep-504,adofile,reghdfe_old_p.ado
aearep-504,adofile,local_inlist.ado
aearep-504,adofile,unique.ado
aearep-504,adofile,fmerge.ado
aearep-504,adofile,fegen.ado
aearep-504,adofile,fsort.ado
aearep-504,adofile,ftab.ado
aearep-504,adofile,fisid.ado
aearep-504,adofile,flevelsof.ado
aearep-504,adofile,fcollapse.ado
aearep-504,adofile,fegen_group.ado
aearep-504,adofile,ftools.ado
aearep-504,adofile,freshape.ado
