aearep,key,value
aearep-1632,docount,128
aearep-1632,adocount,27
aearep-1632,adofile,outreg2_prf.ado
aearep-1632,adofile,outreg2.ado
aearep-1632,adofile,_gtools_internal.ado
aearep-1632,adofile,gegen.ado
aearep-1632,adofile,gstats.ado
aearep-1632,adofile,gunique.ado
aearep-1632,adofile,gcollapse.ado
aearep-1632,adofile,greshape.ado
aearep-1632,adofile,glevelsof.ado
aearep-1632,adofile,gquantiles.ado
aearep-1632,adofile,gtools.ado
aearep-1632,adofile,gtoplevelsof.ado
aearep-1632,adofile,gtop.ado
aearep-1632,adofile,gisid.ado
aearep-1632,adofile,gduplicates.ado
aearep-1632,adofile,gdistinct.ado
aearep-1632,adofile,grc1leg.ado
aearep-1632,adofile,gcontract.ado
aearep-1632,adofile,ranktest9.ado
aearep-1632,adofile,ranktest.ado
aearep-1632,adofile,ranktest11.ado
aearep-1632,adofile,hashsort.ado
aearep-1632,adofile,fasterxtile.ado
aearep-1632,adofile,seeout.ado
aearep-1632,adofile,shellout.ado
aearep-1632,adofile,cpigen.ado
aearep-1632,adofile,filelist.ado
