aearep,key,value
aearep-1185,docount,10
aearep-1185,adocount,45
aearep-1185,adofile,parmest.ado
aearep-1185,adofile,parmcip.ado
aearep-1185,adofile,parmby.ado
aearep-1185,adofile,ms_add_comma.ado
aearep-1185,adofile,ms_parse_vce.ado
aearep-1185,adofile,metaparm.ado
aearep-1185,adofile,ms_parse_absvars.ado
aearep-1185,adofile,ms_parse_varlist.ado
aearep-1185,adofile,ms_get_version.ado
aearep-1185,adofile,ms_compile_mata.ado
aearep-1185,adofile,ms_expand_varlist.ado
aearep-1185,adofile,ms_fvunab.ado
aearep-1185,adofile,ms_fvstrip.ado
aearep-1185,adofile,join.ado
aearep-1185,adofile,_eststo.ado
aearep-1185,adofile,ihstrans.ado
aearep-1185,adofile,estadd.ado
aearep-1185,adofile,estpost.ado
aearep-1185,adofile,esttab.ado
aearep-1185,adofile,eststo.ado
aearep-1185,adofile,estout.ado
aearep-1185,adofile,estfe.ado
aearep-1185,adofile,reghdfe.ado
aearep-1185,adofile,reghdfe_store_alphas.ado
aearep-1185,adofile,reghdfe_parse.ado
aearep-1185,adofile,reghdfe_p.ado
aearep-1185,adofile,reghdfe_estat.ado
aearep-1185,adofile,reghdfe_footnote.ado
aearep-1185,adofile,reghdfe_header.ado
aearep-1185,adofile,reghdfe_old_estat.ado
aearep-1185,adofile,reghdfe_old_footnote.ado
aearep-1185,adofile,reghdfe_old.ado
aearep-1185,adofile,reghdfe_old_p.ado
aearep-1185,adofile,local_inlist.ado
aearep-1185,adofile,fmerge.ado
aearep-1185,adofile,fegen.ado
aearep-1185,adofile,fsort.ado
aearep-1185,adofile,ftab.ado
aearep-1185,adofile,fisid.ado
aearep-1185,adofile,flevelsof.ado
aearep-1185,adofile,fcollapse.ado
aearep-1185,adofile,fegen_group.ado
aearep-1185,adofile,ftools.ado
aearep-1185,adofile,freshape.ado
aearep-1185,adofile,filelist.ado
