aearep,key,value
aearep-1097,docount,8
aearep-1097,adocount,15
aearep-1097,adofile,grstyle.ado
aearep-1097,adofile,grstyle_set.ado
aearep-1097,adofile,linepalette.ado
aearep-1097,adofile,shp2dta.ado
aearep-1097,adofile,symbolpalette.ado
aearep-1097,adofile,colorpalette.ado
aearep-1097,adofile,colorpalette9.ado
aearep-1097,adofile,grstyle.ado
aearep-1097,adofile,grstyle_set.ado
aearep-1097,adofile,linepalette.ado
aearep-1097,adofile,shp2dta.ado
aearep-1097,adofile,symbolpalette.ado
aearep-1097,adofile,colorpalette.ado
aearep-1097,adofile,colorpalette9.ado
aearep-1097,adofile,filelist.ado
