aearep,key,value
aearep-1184,docount,4
aearep-1184,adocount,26
aearep-1184,adofile,outtable7.ado
aearep-1184,adofile,outtable.ado
aearep-1184,adofile,_eststo.ado
aearep-1184,adofile,_olsci.ado
aearep-1184,adofile,_qregtrace.ado
aearep-1184,adofile,_sqregtrace.ado
aearep-1184,adofile,_bsqregtrace.ado
aearep-1184,adofile,estadd.ado
aearep-1184,adofile,estpost.ado
aearep-1184,adofile,esttab.ado
aearep-1184,adofile,eststo.ado
aearep-1184,adofile,estout.ado
aearep-1184,adofile,grqreg.ado
aearep-1184,adofile,appendfile.ado
aearep-1184,adofile,texsave.ado
aearep-1184,adofile,rlasso.ado
aearep-1184,adofile,rlasso_p.ado
aearep-1184,adofile,rlassologit.ado
aearep-1184,adofile,lassologit_p.ado
aearep-1184,adofile,lassoutils.ado
aearep-1184,adofile,lasso2.ado
aearep-1184,adofile,lasso2_p.ado
aearep-1184,adofile,lassologit.ado
aearep-1184,adofile,cvlasso.ado
aearep-1184,adofile,cvlassologit.ado
aearep-1184,adofile,filelist.ado
