aearep,key,value
aearep-454,docount,6
aearep-454,adocount,22
aearep-454,adofile,mat2txt.ado
aearep-454,adofile,_eststo.ado
aearep-454,adofile,ivreg28_cue.ado
aearep-454,adofile,ivreg210.ado
aearep-454,adofile,ivreg28_p.ado
aearep-454,adofile,ivreg29_p.ado
aearep-454,adofile,ivreg210_p.ado
aearep-454,adofile,ivreg28.ado
aearep-454,adofile,ivreg2_p.ado
aearep-454,adofile,ivreg2.ado
aearep-454,adofile,ivreg29_cue.ado
aearep-454,adofile,ivreg29.ado
aearep-454,adofile,estadd.ado
aearep-454,adofile,estpost.ado
aearep-454,adofile,esttab.ado
aearep-454,adofile,eststo.ado
aearep-454,adofile,estout.ado
aearep-454,adofile,ranktest9.ado
aearep-454,adofile,ranktest.ado
aearep-454,adofile,filelist.ado
aearep-454,adofile,qreg2.ado
aearep-454,adofile,distinct.ado
