aearep,key,value
aearep-99,docount,32
aearep-99,adocount,45
aearep-99,adofile,ms_add_comma.ado
aearep-99,adofile,ms_parse_vce.ado
aearep-99,adofile,ms_parse_absvars.ado
aearep-99,adofile,ms_parse_varlist.ado
aearep-99,adofile,ms_get_version.ado
aearep-99,adofile,ms_compile_mata.ado
aearep-99,adofile,ms_expand_varlist.ado
aearep-99,adofile,ms_fvunab.ado
aearep-99,adofile,ms_fvstrip.ado
aearep-99,adofile,ols_spatial_HAC.ado
aearep-99,adofile,join.ado
aearep-99,adofile,estfe.ado
aearep-99,adofile,tex.ado
aearep-99,adofile,texify.ado
aearep-99,adofile,texdoc.ado
aearep-99,adofile,tmpdir.ado
aearep-99,adofile,reghdfe.ado
aearep-99,adofile,reghdfe_store_alphas.ado
aearep-99,adofile,reghdfe_parse.ado
aearep-99,adofile,reghdfe_p.ado
aearep-99,adofile,reg2hdfe.ado
aearep-99,adofile,reg2hdfespatial.ado
aearep-99,adofile,reghdfe_estat.ado
aearep-99,adofile,reghdfe_footnote.ado
aearep-99,adofile,reghdfe_header.ado
aearep-99,adofile,reghdfe_old_estat.ado
aearep-99,adofile,reghdfe_old_footnote.ado
aearep-99,adofile,reghdfe_old.ado
aearep-99,adofile,reghdfe_old_p.ado
aearep-99,adofile,local_inlist.ado
aearep-99,adofile,fmerge.ado
aearep-99,adofile,fegen.ado
aearep-99,adofile,fsort.ado
aearep-99,adofile,ftab.ado
aearep-99,adofile,fisid.ado
aearep-99,adofile,flevelsof.ado
aearep-99,adofile,fcollapse.ado
aearep-99,adofile,fegen_group.ado
aearep-99,adofile,ftools.ado
aearep-99,adofile,freshape.ado
aearep-99,adofile,shortdir.ado
aearep-99,adofile,confirmdir.ado
aearep-99,adofile,tex.ado
aearep-99,adofile,texdoc.ado
aearep-99,adofile,filelist.ado
