aearep,key,value
aearep-970,docount,9
aearep-970,adocount,16
aearep-970,adofile,_eststo.ado
aearep-970,adofile,estadd.ado
aearep-970,adofile,estpost.ado
aearep-970,adofile,esttab.ado
aearep-970,adofile,eststo.ado
aearep-970,adofile,estout.ado
aearep-970,adofile,preliminaries.ado
aearep-970,adofile,matrix_to_txt.ado
aearep-970,adofile,_eststo.ado
aearep-970,adofile,estadd.ado
aearep-970,adofile,estpost.ado
aearep-970,adofile,esttab.ado
aearep-970,adofile,eststo.ado
aearep-970,adofile,estout.ado
aearep-970,adofile,yaml.ado
aearep-970,adofile,filelist.ado
