aearep,key,value
aearep-457,docount,40
aearep-457,adocount,27
aearep-457,adofile,parmest.ado
aearep-457,adofile,parmcip.ado
aearep-457,adofile,parmby.ado
aearep-457,adofile,metaparm.ado
aearep-457,adofile,_eststo.ado
aearep-457,adofile,estadd.ado
aearep-457,adofile,estpost.ado
aearep-457,adofile,esttab.ado
aearep-457,adofile,eststo.ado
aearep-457,adofile,estout.ado
aearep-457,adofile,estfe.ado
aearep-457,adofile,reghdfe.ado
aearep-457,adofile,reghdfe_store_alphas.ado
aearep-457,adofile,reghdfe_parse.ado
aearep-457,adofile,reghdfe_p.ado
aearep-457,adofile,reghdfe_estat.ado
aearep-457,adofile,reghdfe_footnote.ado
aearep-457,adofile,reghdfe_header.ado
aearep-457,adofile,reghdfe_old_estat.ado
aearep-457,adofile,reghdfe_old_footnote.ado
aearep-457,adofile,reghdfe_old.ado
aearep-457,adofile,reghdfe_old_p.ado
aearep-457,adofile,folders.ado
aearep-457,adofile,fs.ado
aearep-457,adofile,filelist.ado
aearep-457,adofile,sample2.ado
aearep-457,adofile,coefplot.ado
