aearep,key,value
aearep-331,docount,86
aearep-331,adocount,16
aearep-331,adofile,outreg2_prf.ado
aearep-331,adofile,outreg2.ado
aearep-331,adofile,ivreg28_cue.ado
aearep-331,adofile,ivreg210.ado
aearep-331,adofile,ivreg28_p.ado
aearep-331,adofile,ivreg29_p.ado
aearep-331,adofile,ivreg210_p.ado
aearep-331,adofile,ivreg28.ado
aearep-331,adofile,ivreg2_p.ado
aearep-331,adofile,ivreg2.ado
aearep-331,adofile,ivreg29_cue.ado
aearep-331,adofile,ivreg29.ado
aearep-331,adofile,unique.ado
aearep-331,adofile,seeout.ado
aearep-331,adofile,shellout.ado
aearep-331,adofile,filelist.ado
