aearep,key,value
aearep-1060,docount,35
aearep-1060,adocount,22
aearep-1060,adofile,filelist.ado
aearep-1060,adofile,vincenty.ado
aearep-1060,adofile,_eststo.ado
aearep-1060,adofile,ivreghdfe.ado
aearep-1060,adofile,estadd.ado
aearep-1060,adofile,estpost.ado
aearep-1060,adofile,esttab.ado
aearep-1060,adofile,eststo.ado
aearep-1060,adofile,estout.ado
aearep-1060,adofile,estfe.ado
aearep-1060,adofile,reghdfe.ado
aearep-1060,adofile,reghdfe_store_alphas.ado
aearep-1060,adofile,reghdfe_parse.ado
aearep-1060,adofile,reghdfe_p.ado
aearep-1060,adofile,reghdfe_estat.ado
aearep-1060,adofile,reghdfe_footnote.ado
aearep-1060,adofile,reghdfe_header.ado
aearep-1060,adofile,reghdfe_old_estat.ado
aearep-1060,adofile,reghdfe_old_footnote.ado
aearep-1060,adofile,reghdfe_old.ado
aearep-1060,adofile,reghdfe_old_p.ado
aearep-1060,adofile,filelist.ado
