aearep,key,value
aearep-1406,docount,36
aearep-1406,adocount,79
aearep-1406,adofile,ms_add_comma.ado
aearep-1406,adofile,ms_parse_vce.ado
aearep-1406,adofile,ms_parse_absvars.ado
aearep-1406,adofile,ms_parse_varlist.ado
aearep-1406,adofile,ms_get_version.ado
aearep-1406,adofile,ms_compile_mata.ado
aearep-1406,adofile,ms_expand_varlist.ado
aearep-1406,adofile,ms_fvunab.ado
aearep-1406,adofile,ms_fvstrip.ado
aearep-1406,adofile,outreg2_prf.ado
aearep-1406,adofile,outreg2.ado
aearep-1406,adofile,join.ado
aearep-1406,adofile,estfe.ado
aearep-1406,adofile,reghdfe.ado
aearep-1406,adofile,renvars.ado
aearep-1406,adofile,reghdfe_store_alphas.ado
aearep-1406,adofile,reghdfe_parse.ado
aearep-1406,adofile,reghdfe_p.ado
aearep-1406,adofile,reghdfe_estat.ado
aearep-1406,adofile,reghdfe_footnote.ado
aearep-1406,adofile,reghdfe_header.ado
aearep-1406,adofile,reghdfe_old_estat.ado
aearep-1406,adofile,reghdfe_old_footnote.ado
aearep-1406,adofile,reghdfe_old.ado
aearep-1406,adofile,reghdfe_old_p.ado
aearep-1406,adofile,local_inlist.ado
aearep-1406,adofile,xls2dta.ado
aearep-1406,adofile,fmerge.ado
aearep-1406,adofile,fegen.ado
aearep-1406,adofile,fsort.ado
aearep-1406,adofile,ftab.ado
aearep-1406,adofile,fisid.ado
aearep-1406,adofile,flevelsof.ado
aearep-1406,adofile,fcollapse.ado
aearep-1406,adofile,filelist.ado
aearep-1406,adofile,fegen_group.ado
aearep-1406,adofile,ftools.ado
aearep-1406,adofile,freshape.ado
aearep-1406,adofile,seeout.ado
aearep-1406,adofile,shellout.ado
aearep-1406,adofile,coefplot.ado
aearep-1406,adofile,ms_add_comma.ado
aearep-1406,adofile,ms_parse_vce.ado
aearep-1406,adofile,ms_parse_absvars.ado
aearep-1406,adofile,ms_parse_varlist.ado
aearep-1406,adofile,ms_get_version.ado
aearep-1406,adofile,ms_compile_mata.ado
aearep-1406,adofile,ms_expand_varlist.ado
aearep-1406,adofile,ms_fvunab.ado
aearep-1406,adofile,ms_fvstrip.ado
aearep-1406,adofile,outreg2_prf.ado
aearep-1406,adofile,outreg2.ado
aearep-1406,adofile,join.ado
aearep-1406,adofile,estfe.ado
aearep-1406,adofile,reghdfe.ado
aearep-1406,adofile,reghdfe_store_alphas.ado
aearep-1406,adofile,reghdfe_parse.ado
aearep-1406,adofile,reghdfe_p.ado
aearep-1406,adofile,reghdfe_estat.ado
aearep-1406,adofile,reghdfe_footnote.ado
aearep-1406,adofile,reghdfe_header.ado
aearep-1406,adofile,reghdfe_old_estat.ado
aearep-1406,adofile,reghdfe_old_footnote.ado
aearep-1406,adofile,reghdfe_old.ado
aearep-1406,adofile,reghdfe_old_p.ado
aearep-1406,adofile,local_inlist.ado
aearep-1406,adofile,fmerge.ado
aearep-1406,adofile,fegen.ado
aearep-1406,adofile,fsort.ado
aearep-1406,adofile,ftab.ado
aearep-1406,adofile,fisid.ado
aearep-1406,adofile,flevelsof.ado
aearep-1406,adofile,fcollapse.ado
aearep-1406,adofile,fegen_group.ado
aearep-1406,adofile,ftools.ado
aearep-1406,adofile,freshape.ado
aearep-1406,adofile,seeout.ado
aearep-1406,adofile,shellout.ado
aearep-1406,adofile,coefplot.ado
